EVA_NR,DS100,NAME,VERKEHR,LAENGE,BREITE,Unnamed: 6,Unnamed: 7,region
8000001,KA,Aachen Hbf,FV,6.091499,50.7678,,,West
8070704,KASZ,Aachen Schanz,RV,6.07384,50.769862,,,West
8000406,KAREP,Aachen-Rothe Erde,RV,6.116475,50.770202,,,West
8000002,TA,Aalen,FV,10.096271,48.841013,,,South
8000412,RAH,Achern,RV,8.065324,48.63399,,,South
8000413,HACH,Achim,RV,9.030447,53.01599,,,North
8000416,AACW,Achterwehr,RV,9.964024,54.314913,,,North
8000419,MAD,Adelschlag,RV,11.211443,48.840759,,,South
8000431,TAF,Affaltrach,RV,9.379012,49.137832,,,Central
8000434,AABG,Agathenburg,RV,9.531244,53.564111,,,North
8007445,RAG,Aglasterhausen,RV,8.990838,49.350097,,,Central
8000436,RA,Aha,RV,8.134349,47.833224,,,South
8000437,EAHS,Ahaus,RV,7.016453,52.081681,,,West
8000443,HALT,Ahlten,RV,9.904613,52.376062,,,Central
8000457,FATC,Ahnatal Casselbreite,RV,9.434061,51.36286,,,Central
8002675,FHEH,Ahnatal-Heckershausen,RV,9.422727,51.362991,,,Central
8006286,FWEI,Ahnatal-Weimar,RV,9.391588,51.363629,,,Central
8001209,KBRU,Ahrbrück,RV,6.972391,50.489679,,,West
8000446,AAHR,Ahrensburg,RV,10.236206,53.669171,,,North
8000480,AAHG,Ahrensburg-Gartenholz,RV,10.251786,53.688482,,,North
8011003,BAHR,Ahrensfelde,RV,13.565154,52.571375,,,North
8000448,KAH,Ahrweiler,RV,7.107071,50.546544,,,West
8000449,KAHM,Ahrweiler Markt,RV,7.094229,50.544228,,,West
8000451,MAIC,Aich(Niederbay),RV,12.398163,48.417315,,,East
8000454,TAI,Aichstetten,RV,10.07494,47.887884,,,South
8000459,MAIN,Ainring,FV,12.964501,47.815033,,,East
8000463,RAL,Albbruck,RV,8.131774,47.592235,,,South
8000466,RAR,Albersweiler(Pfalz),RV,8.024464,49.21847,,,Central
8000468,FAG,Albig,RV,8.116579,49.771375,,,Central
8070252,FALH,Albisheim(Pfrimm),RV,8.096752,49.644776,,,Central
8080040,BAS,Albrechtshof,RV,13.128917,52.549396,,,North
8070096,RAM,Albsheim(Eis),RV,8.178998,49.580683,,,Central
8000473,TAE,Albstadt-Ebingen,RV,9.026962,48.21029,,,South
8000481,TALD,Aldingen(b Spaichingen),RV,8.713033,48.095845,,,South
8000482,MALH,Aletshausen,RV,10.383631,48.201313,,,South
8000483,HALF,Alfeld(Leine),FV,9.817779,51.981417,,,Central
8000495,KALI,Alfter-Impekoven,RV,7.019831,50.711016,,,West
8006516,KWIS,Alfter-Witterschlick,RV,7.026083,50.689698,,,West
8000488,HALG,Algermissen,RV,9.966472,52.25188,,,Central
8000489,HALI,Aligse,RV,9.979349,52.403462,,,Central
8000496,RAB,Allensbach,RV,9.068852,47.714464,,,South
8000498,NALB,Allersberg(Rothsee),RV,11.212573,49.262131,,,Central
8000499,TALL,Allmendingen,RV,9.722382,48.327734,,,South
8000502,KADA,Alsdorf-Annapark,RV,6.156661,50.870517,,,West
8000507,KADB,Alsdorf-Busch,RV,6.140586,50.876588,,,West
8000521,KKEL,Alsdorf-Kellersberg,RV,6.167354,50.867527,,,West
8000527,KMAD,Alsdorf-Mariadorf,RV,6.188454,50.861978,,,West
8000505,SAZ,Alsenz,RV,7.817189,49.727495,,,West
8000506,FAHM,Alsheim,RV,8.342462,49.765528,,,Central
8000508,TACH,Altbach,RV,9.382384,48.720393,,,South
8011016,BAD,Altdöbern,RV,14.009236,51.65278,,,East
8000509,NAD,Altdorf(b Nürnberg),RV,11.35353,49.390006,,,Central
8000511,NAVE,Alte Veste,RV,10.972363,49.454322,,,Central
8011017,WAF,Altefähr,RV,13.14101,54.322927,,,North
8000514,KALT,Altenahr,RV,6.989707,50.515652,,,West
8000515,MALT,Altenau(Bay),RV,11.017375,47.648365,,,South
8011018,LALT,Altenbach,RV,12.682324,51.355868,,,East
8000517,SAB,Altenbamberg,RV,7.830745,49.786857,,,West
8000004,HA,Altenbeken,FV,8.943319,51.766433,,,Central
8000518,EABG,Altenberge,RV,7.481303,52.052258,,,West
8010003,LA,Altenburg,RV,12.444019,50.996648,,,East
8000524,MANE,Altenerding,RV,11.901744,48.293572,,,South
8000491,SALG,Altenglan,RV,7.461841,49.548643,,,West
8000530,FAHN,Altenhasungen,RV,9.225737,51.34354,,,Central
8000533,MATM,Altenmarkt(Alz),RV,12.536027,47.999817,,,East
8000538,FAST,Altenstadt(Hess),RV,8.943977,50.283398,,,Central
8000539,MASI,Altenstadt(Iller),RV,10.109983,48.161191,,,South
8000540,NALW,Altenstadt(Waldnaab),RV,12.16487,49.715679,,,East
8002886,FHTN,Altenstadt-Höchst,RV,8.923418,50.269767,,,Central
8003698,FLIN,Altenstadt-Lindheim,RV,8.978775,50.291334,,,Central
8011025,WATR,Altentreptow,RV,13.242713,53.692233,,,North
8011027,WALW,Altenwillershagen,RV,12.572818,54.259406,,,North
8000544,RAT,Altglashütten-Falkau,RV,8.114113,47.859392,,,South
8000545,MAHB,Althegnenberg,RV,11.063003,48.236374,,,South
8000546,FAT,Altheim(Hess),RV,8.890906,49.923332,,,Central
8011031,WAH,Althof,RV,11.922341,54.090442,,,North
8070591,TAG,Altingen(Württ),RV,8.908852,48.561927,,,South
8011033,DAMD,Altmittweida,RV,12.95969,50.968348,,,East
8000556,MAMT,Altomünster,RV,11.255133,48.384918,,,South
8000555,MAT,Altötting,RV,12.67479,48.221242,,,East
8000559,TAT,Altshausen,RV,9.551478,47.930838,,,South
8000561,MATS,Altstädten(Allgäu),RV,10.280907,47.48855,,,South
8000562,TATN,Alttann,RV,9.793037,47.841214,,,South
8077275,FAZB,Alzenau Burg,RV,9.07434,50.087928,,,Central
8007275,FAZU,Alzenau(Unterfr),RV,9.065603,50.088716,,,Central
8000007,FALZ,Alzey,RV,8.109749,49.7502,,,Central
8000566,NAM,Amberg,RV,11.862902,49.447616,,,Central
8011029,UAMM,Ammern,RV,10.458086,51.233346,,,Central
8000575,NAMB,Amorbach,RV,9.223147,49.645609,,,Central
8000576,MAPF,Ampfing,RV,12.410919,48.253949,,,East
8011038,LAMS,Amsdorf,RV,11.71979,51.463561,,,Central
8079075,TAM M,Amstetten(W) Lokalbahn,RV,9.873959,48.577852,,,South
8000577,TAM,Amstetten(Württ),RV,9.872965,48.578328,,,South
8011039,DAMH,Amtshainersdorf,RV,14.232364,50.966322,,,East
8000331,KAND,Andernach,FV,7.404839,50.434542,,,West
8010004,WA,Angermünde,FV,13.996361,53.015221,,,North
8000579,KANM,Angermund,RV,6.781857,51.330748,,,West
8011042,LANG,Angern-Rogätz,RV,11.759535,52.338464,,,Central
8011043,LAG,Angersdorf,RV,11.903139,51.460407,,,Central
8011044,WAK,Anklam,FV,13.701827,53.856102,,,North
8011047,DABU,Annaberg-Buchholz unterer Bf,RV,12.998209,50.579379,,,East
8011048,LAB,Annaburg,RV,13.032757,51.72868,,,East
8000582,RAN,Annweiler am Trifels,RV,7.966149,49.205386,,,West
8005257,RANS,Annweiler-Sarnstall,RV,7.937192,49.208725,,,West
8000584,KANR,Anrath,RV,6.45023,51.285536,,,West
8000009,NAN,Ansbach,FV,10.578239,49.298032,,,Central
8011049,DATL,Antonsthal,RV,12.755449,50.500096,,,East
8000588,NAWN,Anwanden,RV,10.930396,49.411692,,,Central
8000589,FAZ,Anzefahr,RV,8.85959,50.845731,,,Central
8000590,MAK,Anzenkirchen,RV,13.021996,48.434739,,,East
8011051,UAP,Apolda,FV,11.526136,51.03094,,,Central
8000596,RAP,Appenweier,RV,7.97319,48.541461,,,West
8000597,EARE,Ardey,RV,7.727176,51.481163,,,West
8011053,LAF,Arensdorf(Köthen),RV,12.007416,51.709511,,,East
8011054,UAR,Arenshausen,RV,9.968639,51.375166,,,Central
8000602,FARM,Armsheim,RV,8.074113,49.808372,,,Central
8000603,MANB,Arnbach,RV,11.344044,48.34132,,,South
8000606,NARG,Arnschwang,RV,12.8116,49.274608,,,East
8010007,UA,Arnstadt Hbf,RV,10.948262,50.841939,,,Central
8000611,KARS,Arsbeck,RV,6.206563,51.152006,,,West
8012440,UAT,Artern,RV,11.310757,51.36324,,,Central
8000010,NAH,Aschaffenburg Hbf,FV,9.143697,49.980557,,,Central
8000618,NAHF,Aschaffenburg Hochschule,RV,9.160416,49.974445,,,Central
8000621,MASC,Aschau(Chiemgau),RV,12.325564,47.779106,,,East
8000011,AAG,Ascheberg(Holst),RV,10.339481,54.148462,,,North
8010009,LAL,Aschersleben,RV,11.465689,51.757122,,,Central
8000630,TAX,Asperg,RV,9.147797,48.907359,,,South
8000625,RASH,Asselheim,RV,8.161602,49.57622,,,Central
8000632,FAS,Assenheim(Oberhess),RV,8.812462,50.304939,,,Central
8000633,FAL,Aßlar,RV,8.462756,50.588657,,,Central
8000635,FAH,Assmannshausen,FV,7.867355,49.985324,,,West
8000643,RWSA,Au im Murgtal,RV,8.362349,48.718867,,,South
8000012,KAU,Au(Sieg),RV,7.656537,50.773765,,,West
8010010,DAU,Aue(Sachs),RV,12.698518,50.591682,,,East
8010027,DAUS,Aue(Sachs) Erzgebirgsstadion,RV,12.70935,50.596641,,,East
8000649,RACH,"Auerbach(b Mosbach, Baden)",RV,9.223276,49.399563,,,Central
8011060,UAS,Auerstedt,RV,11.590437,51.10203,,,Central
8000653,MAFE,Aufhausen(b Erding),RV,11.894375,48.274365,,,South
8000655,TAUF,Aufhausen(Württ),RV,10.317193,48.85613,,,South
8000657,RAUG,Auggen,RV,7.586788,47.789949,,,West
8000658,MAHA,Augsburg Haunstetterstraße,RV,10.900985,48.355285,,,South
8000013,MA,Augsburg Hbf,FV,10.88557,48.365441,,,South
8000659,MAGM,Augsburg Messe,RV,10.886086,48.338684,,,South
8000660,MAMS,Augsburg Morellstr.,RV,10.892948,48.355089,,,South
8000661,MAHZ,Augsburg-Hochzoll,RV,10.943376,48.352977,,,South
8000662,MAOB,Augsburg-Oberhausen,RV,10.872533,48.380772,,,South
8000664,HAUG,Augustfehn,FV,7.759659,53.22089,,,North
8000014,TAU,Aulendorf,FV,9.644046,47.953052,,,South
8000669,AAMS,Aumühle,RV,10.314672,53.529853,,,North
8000674,SAUW,Auw an der Kyll,RV,6.614525,49.903596,,,West
8000675,MAY,Aying,RV,11.769578,47.968762,,,South
8010013,LBB,Baalberge,RV,11.784682,51.763048,,,Central
8000678,MBAE,Baar-Ebenhausen,RV,11.460929,48.674463,,,South
8000015,FBA,Babenhausen(Hess),RV,8.957182,49.957963,,,Central
8000681,RBST,Babstadt,RV,9.060708,49.240196,,,Central
8000683,FBCH,Bacharach,RV,7.769523,50.056101,,,West
8000685,MBCN,Bachern,RV,11.378716,48.280159,,,South
8000686,RBH,Bachheim,RV,8.399399,47.862072,,,South
8000016,TB,Backnang,RV,9.425989,48.942676,,,South
8000609,FAR,Bad Arolsen,RV,8.997792,51.3816,,,Central
8000864,RBEL,Bad Bellingen,RV,7.557601,47.730804,,,West
8010031,BBIG,Bad Belzig,RV,12.594981,52.135969,,,East
8000879,HBTH,Bad Bentheim,FV,7.158539,52.30985,,,West
8000691,RBZB,Bad Bergzabern,RV,8.002787,49.103209,,,Central
8000935,ABVS,Bad Bevensen,FV,10.574141,53.078247,,,North
8000988,MBIB,Bad Birnbach,RV,13.074034,48.432853,,,East
8001049,KBOD,Bad Bodendorf,RV,7.217217,50.556266,,,West
8000694,KBRE,Bad Breisig,RV,7.304564,50.504218,,,West
8001322,FCA,Bad Camberg,RV,8.255036,50.296433,,,Central
8010016,WDO,Bad Doberan,RV,11.905335,54.100004,,,North
8000698,RBDH,Bad Dürkheim,RV,8.170701,49.460633,,,Central
8000708,RBDT,Bad Dürkheim-Trift,RV,8.193072,49.466416,,,Central
8000700,MBEP,Bad Empfing,RV,12.632888,47.884007,,,East
8000701,FEMS,Bad Ems,RV,7.728637,50.327652,,,West
8001787,MBEF,Bad Endorf,FV,12.301558,47.905066,,,East
8000017,TBF,Bad Friedrichshall Hbf,RV,9.199771,49.231571,,,Central
8000704,TBK,Bad Friedrichshall-Kochendorf,RV,9.211549,49.217753,,,Central
8000352,HBGM,Bad Gandersheim,RV,10.020236,51.86737,,,Central
8002378,MGNB,Bad Grönenbach,RV,10.253715,47.882468,,,South
8000019,HBHA,Bad Harzburg,RV,10.555444,51.888116,,,Central
8007011,RHLB,Bad Herrenalb,RV,8.438957,48.802428,,,South
8000020,FBHF,Bad Hersfeld,FV,9.716182,50.869632,,,Central
8000710,MBHT,Bad Höhenstadt,RV,13.323195,48.494606,,,East
8000712,FHO,Bad Homburg,RV,8.620624,50.219904,,,Central
8000713,KHBD,Bad Honnef(Rhein),RV,7.219533,50.639772,,,West
8000711,KHGB,Bad Hönningen,RV,7.310871,50.513676,,,West
8000714,NBKI,Bad Kissingen,RV,10.079885,50.191547,,,Central
8010018,WK,Bad Kleinen,FV,11.466925,53.766974,,,North
8000716,MBKG,Bad Kohlgrub,RV,11.058204,47.668006,,,South
8000717,MBKK,Bad Kohlgrub Kurhaus,RV,11.039181,47.670213,,,South
8010019,UKO,Bad Kösen,RV,11.718274,51.130742,,,Central
8000021,SBKN,Bad Kreuznach,RV,7.866435,49.842399,,,West
8000718,RBKR,Bad Krozingen,FV,7.697632,47.919721,,,West
8003486,ELSP,Bad Laasphe,RV,8.42072,50.929312,,,Central
8003493,ENL,Bad Laasphe-Niederlaasphe,RV,8.442001,50.924324,,,Central
8010020,ULS,Bad Langensalza,RV,10.640671,51.101701,,,Central
8005324,HBLB,Bad Lauterberg im Harz Barbis,RV,10.414607,51.619024,,,Central
8011078,BBLW,Bad Liebenwerda,RV,13.40293,51.518401,,,East
8000721,TBLI,Bad Liebenzell,RV,8.734039,48.772578,,,South
8003829,AMAG,Bad Malente-Gremsmühlen,RV,10.55151,54.167014,,,North
8000724,TBMR,Bad Mergentheim,RV,9.771662,49.493647,,,Central
8000725,HMDD,Bad Münder(Deister),RV,9.468062,52.178192,,,Central
8000726,SBMS,Bad Münster a Stein,RV,7.846989,49.813426,,,West
8000727,KMUE,Bad Münstereifel,RV,6.764369,50.558914,,,West
8000601,KARL,Bad Münstereifel-Arloff,RV,6.786608,50.597676,,,West
8003104,KIV,Bad Münstereifel-Iversheim,RV,6.769162,50.583034,,,West
8000728,FBNA,Bad Nauheim,RV,8.749334,50.367904,,,Central
8000022,HNDF,Bad Nenndorf,RV,9.378603,52.343735,,,Central
8000729,KNEB,Bad Neuenahr,RV,7.144304,50.547765,,,West
8000730,NBNE,Bad Neustadt(Saale),RV,10.226134,50.328127,,,Central
8000731,TBN,Bad Niedernau,RV,8.896533,48.460766,,,South
8000732,HOY,Bad Oeynhausen,FV,8.796523,52.205398,,,Central
8000023,AO,Bad Oldesloe,RV,10.382832,53.805283,,,North
8000735,HPRT,Bad Pyrmont,RV,9.272719,51.974233,,,Central
8000736,RBRA,Bad Rappenau,RV,9.101529,49.237765,,,Central
8000777,RBPK,Bad Rappenau Kurpark,RV,9.113526,49.240371,,,Central
8000737,MBRL,Bad Reichenhall,FV,12.881825,47.731168,,,East
8000738,MBRK,Bad Reichenhall-Kirchberg,FV,12.874001,47.718538,,,East
8005183,RRO,Bad Rotenfels Bf,RV,8.3031,48.815822,,,South
8005186,RROG,Bad Rotenfels Schloss,RV,8.297131,48.819949,,,South
8005187,RROW,Bad Rotenfels Weinbrennerstraße,RV,8.312054,48.811515,,,South
8000739,HSCH,Bad Sachsa,RV,10.573211,51.581944,,,Central
8005255,RSAE,Bad Säckingen,RV,7.94863,47.555857,,,West
8000741,FBSH,Bad Salzhausen,RV,8.980381,50.418878,,,Central
8010021,USZ,Bad Salzungen,RV,10.23106,50.815185,,,Central
8000745,EBSA,Bad Sassendorf,RV,8.162439,51.587168,,,Central
8005301,TSL,Bad Saulgau,RV,9.501083,48.013593,,,South
8010022,DSA,Bad Schandau,FV,14.139322,50.918835,,,East
8012873,DSUB,Bad Schlema,RV,12.680229,50.618902,,,East
8004032,RBSK,Bad Schönborn-Kronau,RV,8.646821,49.219345,,,Central
8000746,TBSC,Bad Schussenried,RV,9.668497,47.994033,,,South
8000749,ASCH,Bad Schwartau,RV,10.702722,53.916276,,,North
8000752,FBSO,Bad Soden(Taunus),RV,8.504128,50.143406,,,Central
8005261,FBSS,Bad Soden-Salmünster,RV,9.372053,50.280742,,,Central
8000755,APO,Bad St Peter-Ording,RV,8.614736,54.317293,,,North
8005670,NSFN,Bad Staffelstein,RV,10.994239,50.108258,,,Central
8000757,TBT,Bad Teinach-Neubulach,RV,8.727148,48.67847,,,South
8006029,TUC,Bad Urach,RV,9.396483,48.491244,,,South
8006027,TUCK,Bad Urach Ermstalklinik,RV,9.386901,48.494155,,,South
8070680,TUCW,Bad Urach Wasserfall,RV,9.376401,48.499263,,,South
8000760,FVL,Bad Vilbel,RV,8.73946,50.188677,,,Central
8002382,FGRN,Bad Vilbel-Gronau,RV,8.783203,50.191529,,,Central
8000763,TBWA,Bad Waldsee,RV,9.752274,47.925244,,,South
8006431,TWB,Bad Wildbad Bf,RV,8.551089,48.755718,,,South
8070283,TWBK,Bad Wildbad Kurpark,RV,8.550459,48.748755,,,South
8070282,TWBU,Bad Wildbad Uhlandplatz,RV,8.549366,48.750837,,,South
8000764,FBWD,Bad Wildungen,RV,9.136091,51.119619,,,Central
8000765,RBWF,Bad Wimpfen,RV,9.167297,49.229744,,,Central
8000706,TBWT,Bad Wimpfen Im Tal,RV,9.187046,49.229848,,,Central
8000766,RBWH,Bad Wimpfen-Hohenstadt,RV,9.138753,49.242537,,,Central
8000767,NBWI,Bad Windsheim,RV,10.412942,49.5066,,,Central
8000768,MBWH,Bad Wörishofen,RV,10.597875,48.005711,,,South
8000769,TBW,Bad Wurzach,RV,9.889739,47.910258,,,South
8000770,HZWI,Bad Zwischenahn,FV,8.003123,53.182547,,,North
8000773,HBDV,Baden(Verden),RV,9.081261,53.007872,,,North
8000774,RBB,Baden-Baden,FV,8.190831,48.790327,,,South
8000771,RHEB,Baden-Baden Haueneberstein,RV,8.209021,48.811907,,,South
8000775,RBBL,Baden-Baden Rebland,RV,8.146572,48.733844,,,South
8007144,RBBR,Bahnbrücken,RV,8.764854,49.119447,,,Central
8011098,BBO,Bahnsdorf,RV,14.112288,51.581745,,,East
8000781,MBAB,Baierbrunn,RV,11.480027,48.018741,,,South
8000782,RBSN,Baiersbronn Bf,RV,8.371868,48.504104,,,South
8000789,RBSS,Baiersbronn Schule,RV,8.375858,48.51061,,,South
8000783,NBD,Baiersdorf,RV,11.036976,49.656147,,,Central
8011100,BBAI,Baitz,RV,12.685111,52.164149,,,East
8000785,MBDH,Baldham,RV,11.78678,48.099256,,,South
8000786,FBAD,Balduinstein,RV,7.968,50.34682,,,West
8011103,UBGS,Balgstädt,RV,11.738454,51.208295,,,Central
8000353,TBG,Balingen(Württ),RV,8.850307,48.278469,,,South
8011106,UBAS,Ballstädt(Gotha),RV,10.707666,51.04075,,,Central
8000792,SBAL,Baltersweiler,RV,7.166538,49.493785,,,West
8000793,EBAV,Balve,RV,7.863071,51.332594,,,West
8000025,NBA,Bamberg,FV,10.899489,49.900759,,,Central
8000794,RBAM,Bammental,RV,8.783685,49.359588,,,Central
8011108,WBAM,Bannemin-Mölschow,RV,13.836574,54.071397,,,North
8011109,WBN,Bansin Seebad,RV,14.129385,53.964389,,,North
8000797,HBTF,Bantorf,RV,9.417771,52.332253,,,Central
8000802,RBRT,Barbelroth,RV,8.070307,49.104118,,,Central
8011093,BBKL,Bärenklau,RV,13.143526,52.704043,,,North
8011094,DBS,Bärenstein(Annaberg),RV,13.746003,51.072597,,,East
8000804,ABAE,Bargteheide,RV,10.269104,53.7282,,,North
8011111,LBAR,Barleben,RV,11.620875,52.208945,,,Central
8011112,LBAS,Barleber See,RV,11.640852,52.214328,,,Central
8000807,HBNF,Barnstorf(Han),RV,8.510462,52.707587,,,North
8000808,HBNT,Barnten,RV,9.815279,52.195498,,,Central
8000810,HBAR,Barrien,RV,8.818506,52.946837,,,North
8000812,HBGH,Barsinghausen,RV,9.467112,52.30489,,,Central
8011116,BBA,Baruth(Mark),RV,13.511963,52.057916,,,East
8000026,RB,Basel Bad Bf,FV,7.607805,47.567288,,,West
8000354,HBAS,Bassum,RV,8.739924,52.847388,,,North
8000822,NBH,Batzhausen,RV,11.593033,49.191364,,,Central
8000823,RBBC,Bauerbach,RV,8.748153,49.073964,,,Central
8000778,MBHM,Bäumenheim,RV,10.809972,48.680333,,,South
8000140,FGTH,Baunatal-Guntershausen,RV,9.466997,51.229917,,,Central
8005039,FREH,Baunatal-Rengershausen,RV,9.468667,51.254922,,,Central
8000828,MBYB,Bayerbach,RV,13.134451,48.414412,,,East
8000831,MBGM,Bayerisch Gmain,FV,12.89507,47.720375,,,East
8000028,NBY,Bayreuth Hbf,RV,11.579985,49.949616,,,Central
8000029,FB,Bebra,FV,9.797788,50.969568,,,Central
8011121,UBET,Bechstedt-Trippstein,RV,11.168153,50.659733,,,Central
8000840,SBE,Beckingen(Saar),RV,6.688021,49.386881,,,West
8000030,KBE,Bedburg(Erft),RV,6.572615,50.987478,,,West
8013467,BBEL,Beelitz-Heilstätten,RV,12.926057,52.262345,,,East
8011125,WBES,Beetz-Sommerfeld,RV,13.022086,52.804259,,,North
8000850,NBEH,Behringersdorf,RV,11.198498,49.481574,,,Central
8000851,FBEI,Beienheim,RV,8.821022,50.359131,,,Central
8011131,LBEI,Beilrode,RV,13.064935,51.571005,,,East
8000858,TBS,Beimerstetten,RV,9.976835,48.480974,,,South
8000862,MBNB,Bellenberg,RV,10.09039,48.254645,,,South
8000861,RBLN,Bellheim Am Mühlbuckel,RV,8.297626,49.192639,,,Central
8000863,RBLH,Bellheim Bf,RV,8.29456,49.188303,,,Central
8000865,TBEM,Bempflingen,RV,9.273425,48.572364,,,South
8000869,MBEN,Benediktbeuern,RV,11.403051,47.709121,,,South
8000870,SBG,Bengel,RV,7.05803,50.010379,,,West
8000871,HBML,Bennemühlen,RV,9.726836,52.580993,,,North
8013362,LWZW,Bennewitz,RV,12.70843,51.355926,,,East
8000872,HBEN,Bennigsen,RV,9.666376,52.240733,,,Central
8000873,TBEN,Benningen(Neckar),RV,9.244504,48.943614,,,South
8000031,FBH,Bensheim,FV,8.616717,49.681329,,,Central
8000877,FBAU,Bensheim-Auerbach,RV,8.613366,49.701557,,,Central
8011140,WBE,Bentwisch,RV,12.210506,54.117193,,,North
8000882,NBE,Beratzhausen,RV,11.807853,49.092846,,,Central
8000885,MBG,Berchtesgaden Hbf,FV,12.999058,47.626688,,,East
8000890,RBRG,Berg(Pfalz),RV,8.212761,48.980676,,,South
8011144,UBGE,Berga(Elster),RV,12.158865,50.747189,,,East
8010033,WBG,Bergen auf Rügen,FV,13.417821,54.4205,,,North
8000889,TBER,Bergenweiler,RV,10.272879,48.576297,,,South
8080100,BBFE,Bergfelde(b Berlin),RV,13.320244,52.670303,,,North
8007864,RBGBS,Berghausen Am Stadion,RV,8.53601,49.002456,,,Central
8007863,RBGBP,Berghausen Pfinzbrücke,RV,8.52092,49.006467,,,Central
8000893,RBGB,Berghausen(Baden),RV,8.530169,49.00575,,,Central
8000894,RBGP,Berghausen(Pfalz),RV,8.406173,49.295449,,,Central
8000355,KBEE,Bergheim(Erft),RV,6.646302,50.951706,,,West
8000899,KBGG,Bergisch Gladbach,RV,7.124553,50.991461,,,West
8000902,NBHM,Bergtheim,RV,10.076473,49.8993,,,Central
8011150,LBWZ,Bergwitz,RV,12.576213,51.803696,,,East
8000903,RBE,Beringen Bad Bf,RV,8.574616,47.694897,,,South
8000901,RBEF,Beringerfeld,RV,8.592771,47.695308,,,South
8000904,EBRH,Beringhausen,RV,8.751414,51.407771,,,Central
8011154,BBKR,Berkenbrück,RV,14.165217,52.35719,,,East
8011155,BALE,Berlin Alexanderplatz,RV,13.410961,52.521481,,,North
8089001,BALX,Berlin Alexanderplatz (S),RV,13.411007,52.521642,,,North
8089103,BARF,Berlin Alt-Reinickendorf,RV,13.349617,52.578091,,,North
8089002,BAHU,Berlin Anhalter Bf,RV,13.381362,52.503486,,,North
8089003,BATS,Berlin Attilastr.,RV,13.360951,52.447681,,,East
8089004,BBW,Berlin Baumschulenweg,RV,13.490097,52.467244,,,East
8089005,BBEV,Berlin Bellevue,RV,13.348263,52.519955,,,North
8089006,BRB,Berlin Betriebsbf Rummelsburg,RV,13.497786,52.493827,,,East
8089007,BSCF,Berlin Betriebsbf Schöneweide,RV,13.52368,52.446905,,,East
8089118,BBEU,Berlin Beusselstraße,RV,13.329042,52.534354,,,North
8089008,BBOS,Berlin Bornholmer Str.,RV,13.397943,52.554491,,,North
8089009,BBGT,Berlin Botanischer Garten,RV,13.306766,52.447784,,,East
8089044,BTOR,Berlin Brandenburger Tor,RV,13.381815,52.516506,,,North
8089010,BBCH,Berlin Buckower Chaussee,RV,13.382912,52.410351,,,East
8089107,BBUP,Berlin Bundesplatz,RV,13.32959,52.477617,,,East
8089101,BEBD,Berlin Eichborndamm,RV,13.316835,52.577722,,,North
8089012,BFB,Berlin Feuerbachstr.,RV,13.332575,52.463546,,,East
8089013,BFAL,Berlin Frankfurter Allee,RV,13.47441,52.515168,,,North
8011306,BFRI,Berlin Friedrichstraße,RV,13.387314,52.520394,,,North
8089014,BGSE,Berlin Gehrenseestr.,RV,13.524834,52.556011,,,North
8011102,BGS,Berlin Gesundbrunnen,FV,13.388513,52.548963,,,North
8089015,BGB,Berlin Gesundbrunnen(S),RV,13.388513,52.548963,,,North
8089011,BGFB,Berlin Greifswalder Str,RV,13.439561,52.54002,,,North
8089016,BGBA,Berlin Grünbergallee,RV,13.542485,52.399411,,,East
8089017,BHKM,Berlin Hackescher Markt,RV,13.402364,52.522622,,,North
8011160,BLS,Berlin Hbf,FV,13.369545,52.525592,,,North
8098160,BL,Berlin Hbf (tief),FV,13.369545,52.525592,,,North
8089329,BHST,Berlin Heerstraße,RV,13.259379,52.508121,,,North
8089112,BHEI,Berlin Heidelberger Platz,RV,13.312018,52.479972,,,East
8089105,BHER,Berlin Hermannstraße,RV,13.431313,52.46751,,,East
8089108,BHO,Berlin Hohenzollerndamm,RV,13.300257,52.488556,,,East
8089018,BHUM,Berlin Humboldthain,RV,13.379277,52.544795,,,North
8089106,BIP,Berlin Innsbrucker Platz,RV,13.342197,52.478084,,,East
8089019,BJB,Berlin Jannowitzbrücke,RV,13.419347,52.51427,,,North
8089537,BJLB,Berlin Julius-Leber-Brücke,RV,13.361266,52.486519,,,East
8011167,BJUF,Berlin Jungfernheide,RV,13.299437,52.530276,,,North
8089100,BJUN,Berlin Jungfernheide (S),RV,13.299446,52.530375,,,North
8089102,BKBO,Berlin Karl-Bonhoeffer-Nervenklinik,RV,13.329176,52.578048,,,North
8089104,BKHD,Berlin Köllnische Heide,RV,13.467807,52.469653,,,East
8089020,BLST,Berlin Landsberger Allee,RV,13.454567,52.529593,,,North
8089022,BMEA,Berlin Mehrower Allee,RV,13.553699,52.557759,,,North
8089023,BMEX,Berlin Mexikoplatz,RV,13.232712,52.436937,,,East
8089026,BNPL,Berlin Nöldnerplatz,RV,13.484452,52.503497,,,North
8089330,BOLS,Berlin Olympiastadion,RV,13.242389,52.511166,,,North
8089027,BORS,Berlin Oranienburger Straße,RV,13.393052,52.52521,,,North
8089473,BOSS,Berlin Osdorfer Straße,RV,13.314288,52.418841,,,East
8089030,BPWA,Berlin Plänterwald,RV,13.473126,52.478542,,,East
8089031,BPOE,Berlin Poelchaustr.,RV,13.535189,52.535005,,,North
8011118,BPOF,Berlin Potsdamer Platz,RV,13.375988,52.509379,,,North
8089032,BPOP,Berlin Potsdamer Platz (S),RV,13.376649,52.509508,,,North
